"DATE","WDSP","VISIB","TEMP","DEWP","SLP"
20190327,3.6,16,7.2,-11.7,1028.2
20190328,8.2,16,13.3,2.2,1015.7
20190329,4.1,16,10,-2.2,1017.8
20190330,2.1,16,8.9,-2.8,1015.6
20190331,6.2,16,1.1,-13.3,1018.6
20190401,2.6,16,2.8,-12.8,1025.7
20190402,5.7,16,10,-2.2,1015.6
20190403,4.1,16,8.3,-2.2,1013.5
20190404,2.1,16,11.7,-6.7,1023.5
20190405,5.7,16,3.3,-1.7,1024.7
20190406,1.5,16,13.3,5.6,1017.5
20190407,5.7,16,16.1,7.8,1015.3
20190408,5.1,16,14.4,11.7,1007.2
20190409,3.6,16,20.6,6.1,1004.9
20190410,6.7,16,15.6,-3.3,1010.6
20190411,7.7,16,0,-1.1,1015.7
20190412,8.2,12,2.2,0.6,1002.9
20190413,4.6,16,3.3,-3.9,1009.8
20190414,3.6,16,3.9,-4.4,1019.8
20190415,5.1,16,2.8,-4.4,1009.2
20190416,8.2,16,10,-2.2,1014.2
20190417,4.6,16,14.4,7.8,1013.9
20190418,4.1,14,15,10.6,999.1
20190419,5.1,16,6.7,2.2,1009.3
20190420,4.6,16,13.3,-4.4,1012.7
20190421,2.1,16,17.8,-6.1,1009.3
20190422,6.2,16,24.4,5,1012.3
20190423,4.1,16,22.2,11.1,1009.1
20190424,3.1,16,17.2,0,1016.3
20190425,6.2,16,15.6,1.7,1010.5
20190426,4.1,16,11.1,8.3,1009.1
20190427,6.2,16,13.9,-6.1,1011.8
20190428,3.6,1.2,0.6,0,1014.5
20190429,6.2,16,10,-4.4,1021.4
20190430,1.5,16,10.6,6.7,1018.4
20190501,5.7,3.2,5.6,4.4,1021.7
20190502,1.5,16,10,6.1,1018.4
20190503,2.1,16,11.1,5.6,1019.1
20190504,2.6,16,12.8,3.9,1017.2
20190505,2.1,16.09,17.2,6.1,1011.5
20190506,3.6,3.2,11.7,10.6,1012
20190507,2.6,16,13.9,6.7,1018.2
20190508,4.6,16,12.2,1.7,1024.7
20190509,6.2,6,9.4,6.1,1006.9
20190510,3.1,16,7.2,3.3,1011.8
20190511,2.1,16,15,0.6,1019.9
20190512,4.6,16,11.7,1.1,1015.6
20190513,1.5,16.09,11.1,2.8,1010.8
20190514,4.1,16,15.6,2.2,1013.9
20190515,3.6,16,19.4,3.9,1013.5
20190516,1.5,16.09,18.9,10.6,1011.4
20190517,3.1,6.44,16.1,15,1006.4
20190518,4.1,16,12.2,4.4,1013.8
20190519,3.1,8,18.3,16.1,1005.8
20190520,4.6,16,12.8,6.7,1005
20190521,2.6,16,12.8,3.9,1020.7
20190522,9.8,16,11.7,3.3,1014
20190523,3.6,16,23.9,11.7,1007.3
20190524,4.1,16,20.6,8.3,1017.2
20190525,3.6,16,22.2,17.2,1011.9
20190526,4.1,16,25.6,13.9,1011.4
20190527,2.1,16,22.8,9.4,1016.5
20190528,5.1,16,17.8,15.6,1003.9
20190529,3.6,16,13.9,10.6,1008.9
20190530,2.1,16,21.1,13.9,1006.9
20190531,3.1,16.09,19.4,15,1010.1
20190601,3.1,16.09,26.1,16.1,1006.9
20190602,2.6,16,20.6,15.6,1007.3
20190603,2.6,16,21.1,4.4,1013.7
20190604,4.6,16,20,8.3,1017.3
20190605,3.1,16,25.6,18.3,1005.8
20190606,2.6,16,26.7,16.7,1007.1
20190607,3.1,16.09,25,13.9,1011.6
20190608,5.7,16,26.7,10,1014.2
20190609,4.1,16,23.9,11.1,1014.9
20190610,2.1,16,24.4,17.2,1013.6
20190611,4.6,16,22.2,2.8,1019.6
20190612,2.1,16,18.9,10.6,1017.2
20190613,7.7,16,13.3,11.7,1010.6
20190614,2.6,16,19.4,3.9,1015
20190615,4.1,16,22.8,10,1007.6
20190616,5.7,16,15.6,11.7,1008.6
20190617,4.1,16.09,15.6,11.1,1012.9
20190618,1.5,16.09,17.8,15.6,1015
20190619,3.6,16,23.9,16.1,1010.7
20190620,2.6,16,17.8,13.9,1006.8
20190621,3.1,16,22.8,12.2,1009.6
20190622,4.1,16,20,7.8,1015.2
20190623,6.7,16,23.3,14.4,1015.7
20190624,2.1,16,25.6,18.3,1005
20190625,3.6,4.8,17.2,15.6,1002.4
20190626,4.1,16,26.1,15.6,1008.8
20190627,1.5,16,28.9,15.6,1016.8
20190628,4.1,16,21.7,18.3,1017.5
20190629,2.6,16,27.2,20,1017.7
20190630,1.5,16.09,24.4,21.1,1016
20190701,8.8,16,22.8,19.4,1010.8
20190702,1.5,16.09,26.7,20.6,1012.8
20190703,4.1,16,25,18.3,1009
20190704,4.1,16,26.7,18.9,1011.5
20190705,3.1,16,30,21.7,1011.4
20190706,2.1,16,29.4,21.1,1014.6
20190707,5.1,16,24.4,16.1,1016.8
20190708,3.1,16,26.1,14.4,1017
20190709,3.6,9,26.1,15.6,1015.9
20190710,5.7,16,28.9,17.8,1011.5
20190711,4.1,16,26.7,15.6,1010.8
20190712,3.1,16,26.1,11.7,1013.9
20190713,1.5,16.09,26.7,17.8,1012.5
20190714,2.1,16,28.3,18.9,1015.6
20190715,4.6,16,31.1,19.4,1016.3
20190716,4.6,16,30,18.9,1012.1
20190717,1.5,16.09,26.7,21.7,1010.4
20190718,4.1,16,29.4,21.7,1010.1
20190719,3.6,16,30,23.9,1005.9
20190720,5.1,16,32.2,25.6,1005.6
20190721,2.6,16,22.8,20,1010.3
20190722,1.5,16,25,17.2,1015.4
20190723,3.1,16,23.9,10.6,1019
20190724,1.5,16,23.9,15,1019
20190725,1.5,16.09,26.1,16.1,1019.7
20190726,2.6,16.09,25.6,16.1,1019.4
20190727,5.1,16,27.8,17.8,1016.6
20190728,2.1,16.09,26.7,20.6,1015.8
20190729,5.7,16,28.9,18.9,1012.1
20190730,2.6,16,26.7,16.1,1010.7
20190731,3.1,16,23.3,12.2,1017.7
20190801,2.1,16,24.4,12.8,1020.5
20190802,2.6,16,25,10.6,1021
20190803,2.1,16,26.7,13.3,1018.7
20190804,4.1,16,23.3,17.8,1017.2
20190805,1.5,16.09,24.4,20,1015
20190806,4.1,16,28.3,17.2,1007.7
20190807,2.1,16,26.1,17.2,1009.2
20190808,5.1,16,27.8,18.9,1006.7
20190809,3.6,16,22.8,11.1,1011.4
20190810,2.1,16,23.9,12.8,1014.3
20190811,2.6,16,23.9,15,1015
20190812,3.1,16.09,23.9,19.4,1012.5
20190813,1.5,11.27,21.1,20,1009.6
20190814,2.1,16,24.4,19.4,1011.5
20190815,3.6,16,20.6,13.9,1015.3
20190816,3.1,16,23.3,11.7,1014.6
20190817,1.5,16.09,17.8,16.7,1011.3
20190818,2.6,16,25.6,17.2,1010.1
20190819,1.5,16,24.4,16.7,1010.2
20190820,1.5,12.88,15,13.9,1016.9
20190821,1.5,16.09,23.9,19.4,1013.9
20190822,2.6,16,22.2,15,1013.6
20190823,4.1,16,21.7,12.8,1017.5
20190824,4.6,16,20.6,10.6,1023.1
20190825,3.6,16,20.6,11.1,1022.5
20190826,5.1,16,20.6,12.8,1015.9
20190827,2.1,14.48,19.4,18.3,1005.5
20190828,2.6,16,21.7,10,1009.3
20190829,1.5,16.09,18.9,10,1012.7
20190830,2.6,16,25,11.1,1009.6
20190831,1.5,16.09,15.6,11.7,1022.3
20190901,3.6,16,17.8,11.1,1023.8
20190902,1.5,16.09,18.9,15.6,1017.8
20190903,2.1,16,24.4,18.9,1016.3
20190904,4.6,16,23.9,12.8,1008.8
20190905,1.5,16,17.2,11.7,1021.3
20190906,6.2,16,21.1,13.3,1015.7
20190907,4.1,16,20.6,12.8,1016.4
20190908,2.1,16,17.8,12.2,1017.6
20190909,4.6,16,16.7,12.2,1020.2
20190910,5.7,16,19.4,17.2,1017.1
20190911,3.6,16.09,21.7,19.4,1017.8
20190912,4.1,16,20.6,18.3,1016.5
20190913,6.2,16,21.1,19.4,1014.8
20190914,2.6,16.09,16.7,11.7,1017.8
20190915,3.1,16,23.3,15.6,1017.8
20190916,1.5,0.8,18.9,18.3,1016.3
20190917,3.6,16,23.9,16.7,1018.9
20190918,4.1,16,23.3,18.3,1018.2
20190919,4.6,16,25,18.9,1015.6
20190920,2.6,16.09,26.1,20,1019
20190921,2.1,16,26.1,21.1,1017.8
20190922,3.1,14,23.3,21.7,1013.1
20190923,1.5,16.09,19.4,18.3,1009.5
20190924,3.1,16.09,15.6,12.8,1013.8
20190925,5.1,16,23.9,10.6,1006.1
20190926,2.1,16,18.3,8.3,1008.2
20190927,2.6,16.09,16.7,7.8,1011.2
20190928,3.1,4.8,17.2,16.7,1005.5
20190929,3.1,16,13.3,7.8,1022.9
20190930,2.6,2.4,15.6,15,1019.7
20191001,4.1,16,26.7,21.1,1010.3
20191002,2.1,14,23.3,21.7,1009.3
20191003,3.1,11,12.2,10.6,1015.9
20191004,2.6,16,11.7,5.6,1023.2
20191005,2.6,16,11.1,6.7,1028.1
20191006,5.1,11,12.8,11.7,1010.9
20191007,3.1,16,15.6,6.1,1017.2
20191008,2.1,16.09,11.1,6.7,1023.3
20191009,2.1,16,16.7,5.6,1019.3
20191010,3.1,16,16.7,7.8,1018.1
20191011,5.7,11,17.2,15.6,1012.7
20191012,5.1,16,4.4,-2.8,1014.2
20191013,5.1,16,3.3,0.6,1009.7
20191014,3.6,16,5,-0.6,1012.4
20191015,1.5,16,8.3,-0.6,1016.8
20191016,3.6,16,10,4.4,1008.4
20191017,2.6,16,8.3,1.1,1016.3
20191018,1.5,16.09,2.8,1.1,1017.2
20191019,5.1,16,12.2,4.4,1011.1
20191020,1.5,14,11.1,10,1007
20191021,1.5,16,12.2,7.2,1012.6
20191022,5.7,16,12.2,6.1,995.4
20191023,3.6,16,8.3,2.2,1004
20191024,3.1,12,7.2,2.2,1015.2
20191025,1.5,16.09,3.3,0.6,1027.9
20191026,1.5,16.09,1.7,-2.8,1023.4
20191027,3.6,12,6.7,3.9,1008.6
20191028,1.5,16,11.1,5,1013.6
20191029,2.1,16.09,5,-1.7,1018.4
20191030,3.6,16.09,-2.2,-4.4,1026.8
20191031,7.2,16,0,-6.1,1021.7
20191101,1.5,16,-3.3,-7.8,1017.9
20191102,2.6,16.09,1.7,-0.6,1017.6
20191103,2.6,16,2.2,-3.9,1020.4
20191104,3.1,16,7.8,0,1013.7
20191105,4.6,16,4.4,-2.2,1017.2
20191106,2.1,16,-1.1,-10,1026.7
20191107,5.1,2.4,-2.8,-4.4,1028.7
20191108,2.1,16,-6.7,-14.4,1033.3
20191109,5.1,16,-2.8,-10,1025.5
20191110,2.1,16,5,-1.7,1011.8
20191111,2.1,16,1.1,-3.9,1020.7
20191112,6.7,16,-8.9,-16.7,1030.6
20191113,3.1,16,-10,-17.8,1030.1
20191114,2.1,14,-5,-8.3,1017.4
20191115,3.1,16,-3.3,-7.8,1025.1
20191116,2.6,16.09,-1.7,-5.6,1030.8
20191117,3.1,14,1.1,-2.8,1024.2
20191118,1.5,1.6,0.6,-0.6,1011.7
20191119,2.1,16.09,1.1,-1.1,1008
20191120,2.6,0.8,3.3,2.8,1021.4
20191121,3.6,14,5,2.8,1018
20191122,4.6,16,3.3,-0.6,1012.8
20191123,1.5,16.09,-3.3,-5.6,1019.5
20191124,2.6,16,2.8,-2.2,1005.5
20191125,2.1,16.09,5.6,0.6,1002.6
20191126,2.6,16.09,6.1,0,1003.7
20191127,6.2,16,3.3,1.7,1006
20191128,10.8,16,0,-5,1016.9
20191129,2.1,16,0,-2.8,1033.3
20191130,2.6,16,1.1,-1.1,1024.2
20191201,8.2,4,2.2,1.1,1000
20191202,6.7,14,-1.7,-3.9,1005.9
20191203,1.5,16,-1.7,-5,1018.6
20191204,2.1,16,2.8,-2.2,1003.4
20191205,2.6,16,1.7,-3.9,1010.6
20191206,3.6,16,3.9,0,1013.3
20191207,1.5,16.09,-3.3,-7.2,1027.5
20191208,5.1,16,1.7,-2.2,1021.1
20191209,1.5,1.61,2.8,2.2,1003.8
20191210,5.7,16,-2.2,-5.6,1002.5
20191211,2.6,16,-10.6,-17.2,1025.5
20191212,1.5,16.09,-10.6,-16.1,1033.3
20191213,2.6,16,3.3,-3.3,1015.9
20191214,3.1,9.66,-1.7,-3.3,1010.5
20191215,4.6,14,-5,-9.4,1010.8
20191216,2.6,16,-6.1,-13.3,1020
20191217,1.5,16,-4.4,-8.3,1022.4
20191218,3.6,16.09,-2.8,-6.7,1018.3
20191219,3.1,16,-8.9,-20,1028.2
20191220,1.5,12.88,-4.4,-6.7,1026.5
20191221,4.6,14,2.8,-2.2,1027
20191222,3.1,16.09,3.3,-2.2,1024.3
20191223,2.1,16,7.2,-0.6,1018.2
20191224,2.1,16,1.1,-1.1,1019.6
20191225,3.1,16.09,5.6,3.3,1011.2
20191226,2.1,16,6.7,3.3,1009.9
20191227,2.1,16,2.2,-0.6,1016.6
20191228,2.1,12.88,-3.9,-6.1,1024.1
20191229,4.6,1.6,2.2,2.2,1013.8
20191230,2.6,16,10,6.7,998.5
20191231,5.7,6,-0.6,-2.8,996
